city,category,total_hours
A Corua (La Corua),Sports,34538.51833333333
Abha,Animation,34999.76833333333
Abu Dhabi,Drama,34802.885
Acua,Drama,552.55
Adana,Horror,34731.335
Addis Abeba,Family,529.0999999999999
Aden,New,795.2333333333333
Adoni,Children,409.18333333333334
Ahmadnagar,Children,587.9333333333333
Akishima,Children,652.65
Akron,Classics,34852.75166666666
Alessandria,New,34538.51833333333
Allappuzha (Alleppey),Sports,34701.818333333336
Allende,Travel,685.8166666666667
Almirante Brown,Classics,34679.985
Alvorada,Sci-Fi,447.7833333333333
Ambattur,Games,499.3
Amersfoort,Sports,583.9333333333334
Amroha,Family,34855.551666666666
Angra dos Reis,Family,526.9166666666667
Anpolis,Classics,34538.51833333333
Antofagasta,Classics,527.45
Aparecida de Goinia,Comedy,34538.51833333333
Aparecida de Goinia,Action,34538.51833333333
Apeldoorn,Sports,776.3666666666667
Araatuba,Family,467.85
Arak,Children,546.6
Arecibo,New,684.4833333333333
Arlington,Foreign,614.6166666666667
Ashdod,Sci-Fi,699.7333333333333
Ashgabat,Foreign,34632.901666666665
Ashqelon,Classics,491.7166666666667
Asuncin,Sci-Fi,392.48333333333335
Athenai,Action,621.7333333333333
Atinsk,Travel,695.7333333333333
Atlixco,Animation,516.9333333333334
Augusta-Richmond County,Foreign,526.1166666666666
Aurora,Children,35244.585
Avellaneda,Family,34919.20166666667
Beni-Mellal,Foreign,508.0666666666667
Donostia-San Sebastin,Sports,800.3833333333334
Effon-Alaiye,Drama,680.1666666666666
Hubli-Dharwad,Action,290.5333333333333
Jalib al-Shuyukh,Games,34581.20166666667
Jastrzebie-Zdrj,Animation,483.21666666666664
Kamjanets-Podilskyi,Children,705.9666666666667
Kirovo-Tepetsk,Documentary,571.55
Lapu-Lapu,Travel,34538.51833333333
Mwene-Ditu,Travel,572.6
Naala-Porto,Foreign,485.35
Saint-Denis,Sci-Fi,814.6166666666667
Shahr-e Kord,Foreign,478.75
Shubra al-Khayma,Sci-Fi,695.8333333333334
Southend-on-Sea,Sports,504.9166666666667
Tel Aviv-Jaffa,Foreign,576.15
Usolje-Sibirskoje,Classics,434.7666666666666
Uttarpara-Kotrung,Children,483.23333333333335
al-Ayn,Sports,455.3833333333333
al-Hawiya,Sports,365.8333333333333
al-Manama,Family,35041.135
al-Qadarif,Music,360.20000000000005
al-Qatif,Sports,34538.51833333333
s-Hertogenbosch,Drama,472.16666666666663
